Date,Close
8/12/2016,180.27
8/15/2016,180.56
8/16/2016,179.25
8/17/2016,179.87
8/18/2016,179.18
8/19/2016,179.61
8/22/2016,179.07
8/23/2016,179.77
8/24/2016,179.41
8/25/2016,179.58
8/26/2016,179.41
8/29/2016,180.5
8/30/2016,180.15
8/31/2016,179.24
9/1/2016,179.98
9/2/2016,180.81
9/6/2016,180.46
9/7/2016,179.75
9/8/2016,180.1
9/9/2016,175.64
9/12/2016,178.1
9/13/2016,176.07
9/14/2016,175.62
9/15/2016,176.59
9/16/2016,175.06
9/19/2016,176.72
9/20/2016,177.6
9/21/2016,179.59
9/22/2016,179.85
9/23/2016,177.39
9/26/2016,175.95
9/27/2016,176.3
9/28/2016,177.59
9/29/2016,175.37
9/30/2016,176.23
10/3/2016,175.04
10/4/2016,171.68
10/5/2016,172.39
10/6/2016,171.64
10/7/2016,171.33
10/10/2016,171.14
10/11/2016,169.68
10/12/2016,169.72
10/13/2016,170.02
10/14/2016,170.33
10/17/2016,170.21
10/18/2016,169.95
10/19/2016,169.91
10/20/2016,169.86
10/21/2016,169.5
10/24/2016,171.27
10/25/2016,166.23
10/26/2016,166.51
10/27/2016,165.76
10/28/2016,165.77
10/31/2016,165.3
11/1/2016,164.25
11/2/2016,165.73
11/3/2016,166.83
11/4/2016,166.48
11/7/2016,169.74
11/8/2016,171.03
11/9/2016,170.39
11/10/2016,174.28
11/11/2016,175.08
11/14/2016,172.91
11/15/2016,174.24
11/16/2016,172.01
11/17/2016,172.77
11/18/2016,172.96
11/21/2016,171.52
11/22/2016,171.91
11/23/2016,172.25
11/25/2016,173.49
11/28/2016,172.5
11/29/2016,172.77
11/30/2016,171.74
12/1/2016,172.63
12/2/2016,172.43
12/5/2016,171.62
12/6/2016,171.8
12/7/2016,176.05
12/8/2016,175.88
12/9/2016,178.49
12/12/2016,179.64
12/13/2016,178.83
12/14/2016,176.6
12/15/2016,176.02
12/16/2016,177.45
12/19/2016,178.16
12/20/2016,178.65
12/21/2016,178.43
12/22/2016,179.2
12/23/2016,178.75
12/27/2016,178.92
12/28/2016,178.08
