Date,VALUE
2/1/1978,100.1117249
3/1/1978,100.2900487
4/1/1978,100.4529085
5/1/1978,100.5750542
6/1/1978,100.6315461
7/1/1978,100.6038507
8/1/1978,100.4800291
9/1/1978,100.2609922
10/1/1978,99.97354051
11/1/1978,99.66182499
12/1/1978,99.38400835
1/1/1979,99.21117613
2/1/1979,99.20942281
3/1/1979,99.41514086
4/1/1979,99.7978257
5/1/1979,100.298076
6/1/1979,100.8522926
7/1/1979,101.4092041
8/1/1979,101.9349296
9/1/1979,102.4180162
10/1/1979,102.876709
11/1/1979,103.324098
12/1/1979,103.7345286
1/1/1980,104.010563
2/1/1980,104.0358097
3/1/1980,103.7382961
4/1/1980,103.1702773
5/1/1980,102.4472342
6/1/1980,101.7056052
7/1/1980,101.0734905
8/1/1980,100.6529106
9/1/1980,100.4958912
10/1/1980,100.5654082
11/1/1980,100.7831021
12/1/1980,101.0592581
1/1/1981,101.3123104
2/1/1981,101.4734058
3/1/1981,101.493052
4/1/1981,101.3543907
5/1/1981,101.0623007
6/1/1981,100.6434726
7/1/1981,100.1570632
8/1/1981,99.66947997
9/1/1981,99.2347232
10/1/1981,98.87557052
11/1/1981,98.59420626
12/1/1981,98.37714362
1/1/1982,98.19436324
2/1/1982,98.01284502
3/1/1982,97.80742546
4/1/1982,97.57137059
5/1/1982,97.31043281
6/1/1982,97.03899671
7/1/1982,96.77790166
8/1/1982,96.55189714
9/1/1982,96.38629985
10/1/1982,96.30107855
11/1/1982,96.30954092
12/1/1982,96.41099546
1/1/1983,96.5762879
2/1/1983,96.76691461
3/1/1983,96.94913686
4/1/1983,97.1060036
5/1/1983,97.23001255
6/1/1983,97.31722022
7/1/1983,97.36336115
8/1/1983,97.36989239
9/1/1983,97.3526272
10/1/1983,97.35283227
11/1/1983,97.41509462
12/1/1983,97.56390171
1/1/1984,97.77548263
2/1/1984,98.01206336
3/1/1984,98.25113911
4/1/1984,98.51273284
5/1/1984,98.83375434
6/1/1984,99.24043743
7/1/1984,99.71598371
8/1/1984,100.2218876
9/1/1984,100.714059
10/1/1984,101.1567491
11/1/1984,101.5176042
12/1/1984,101.7661317
1/1/1985,101.8779697
2/1/1985,101.845115
3/1/1985,101.6956578
4/1/1985,101.5232165
5/1/1985,101.4347215
6/1/1985,101.5008941
7/1/1985,101.7012322
8/1/1985,101.9736593
9/1/1985,102.2537987
10/1/1985,102.5093246
11/1/1985,102.7233378
12/1/1985,102.8796534
1/1/1986,102.951266
2/1/1986,102.9184996
3/1/1986,102.7933806
4/1/1986,102.6512468
5/1/1986,102.5810693
6/1/1986,102.6379167
7/1/1986,102.7907719
8/1/1986,102.9699547
9/1/1986,103.1074045
10/1/1986,103.1755174
11/1/1986,103.1743627
12/1/1986,103.1240623
1/1/1987,103.0623877
2/1/1987,103.0197425
3/1/1987,102.9955076
4/1/1987,102.9334741
5/1/1987,102.7682811
6/1/1987,102.4746076
7/1/1987,102.1230044
8/1/1987,101.8135166
9/1/1987,101.6144327
10/1/1987,101.4990324
11/1/1987,101.3962462
12/1/1987,101.2346181
1/1/1988,100.9853416
2/1/1988,100.6510451
3/1/1988,100.2609046
4/1/1988,99.87187648
5/1/1988,99.54308658
6/1/1988,99.31090448
7/1/1988,99.16017926
8/1/1988,99.05238666
9/1/1988,98.9474982
10/1/1988,98.82270237
11/1/1988,98.67248714
12/1/1988,98.51015836
1/1/1989,98.37112866
2/1/1989,98.29603177
3/1/1989,98.31234075
4/1/1989,98.41136663
5/1/1989,98.56681895
6/1/1989,98.74707186
7/1/1989,98.92323117
8/1/1989,99.07021969
9/1/1989,99.16802032
10/1/1989,99.20482738
11/1/1989,99.17648245
12/1/1989,99.09000489
1/1/1990,98.97146095
2/1/1990,98.84953545
3/1/1990,98.74128832
4/1/1990,98.63804996
5/1/1990,98.52837388
6/1/1990,98.42014809
7/1/1990,98.36269469
8/1/1990,98.41426255
9/1/1990,98.60586799
10/1/1990,98.89662398
11/1/1990,99.21473917
12/1/1990,99.49078695
1/1/1991,99.68899368
2/1/1991,99.79440186
3/1/1991,99.80502574
4/1/1991,99.73010996
5/1/1991,99.58617601
6/1/1991,99.39878927
7/1/1991,99.20887812
8/1/1991,99.06149564
9/1/1991,98.9947029
10/1/1991,99.02528254
11/1/1991,99.15427055
12/1/1991,99.36491405
1/1/1992,99.61293774
2/1/1992,99.84759917
3/1/1992,100.0297222
4/1/1992,100.1503601
5/1/1992,100.2108754
6/1/1992,100.2068781
7/1/1992,100.1161147
8/1/1992,99.91195482
9/1/1992,99.58265845
10/1/1992,99.15791956
11/1/1992,98.68975477
12/1/1992,98.24011325
1/1/1993,97.8718155
2/1/1993,97.64015519
3/1/1993,97.57886548
4/1/1993,97.68790777
5/1/1993,97.94727465
6/1/1993,98.32945479
7/1/1993,98.80047954
8/1/1993,99.31915503
9/1/1993,99.82937403
10/1/1993,100.2484867
11/1/1993,100.4989363
12/1/1993,100.5463862
1/1/1994,100.4486998
2/1/1994,100.2941448
3/1/1994,100.149418
4/1/1994,100.0122526
5/1/1994,99.8566866
6/1/1994,99.67682649
7/1/1994,99.53094095
8/1/1994,99.48962931
9/1/1994,99.58194661
10/1/1994,99.73358264
11/1/1994,99.83610831
12/1/1994,99.81110583
1/1/1995,99.67711154
2/1/1995,99.50162079
3/1/1995,99.36046274
4/1/1995,99.30061148
5/1/1995,99.34512062
6/1/1995,99.49199956
7/1/1995,99.70518677
8/1/1995,99.93743344
9/1/1995,100.1481693
10/1/1995,100.3199243
11/1/1995,100.4475056
12/1/1995,100.52978
1/1/1996,100.5645001
2/1/1996,100.5541475
3/1/1996,100.5150773
4/1/1996,100.4897586
5/1/1996,100.5173534
6/1/1996,100.6035587
7/1/1996,100.6866339
8/1/1996,100.6922844
9/1/1996,100.5884088
10/1/1996,100.4445131
11/1/1996,100.3677836
12/1/1996,100.4426574
1/1/1997,100.6661797
2/1/1997,100.9876399
3/1/1997,101.3365909
4/1/1997,101.6438483
5/1/1997,101.855457
6/1/1997,101.9499342
7/1/1997,101.9621846
8/1/1997,101.9482321
9/1/1997,101.95594
10/1/1997,101.9980878
11/1/1997,102.0656389
12/1/1997,102.1386176
1/1/1998,102.1953104
2/1/1998,102.2096151
3/1/1998,102.1498524
4/1/1998,101.980956
5/1/1998,101.6771275
6/1/1998,101.2423292
7/1/1998,100.7398685
8/1/1998,100.2519033
9/1/1998,99.84498522
10/1/1998,99.53592547
11/1/1998,99.31495619
12/1/1998,99.1615182
1/1/1999,99.05369615
2/1/1999,98.97867187
3/1/1999,98.94012269
4/1/1999,98.96352212
5/1/1999,99.08130118
6/1/1999,99.31389241
7/1/1999,99.6439991
8/1/1999,100.035763
9/1/1999,100.4468681
10/1/1999,100.836404
11/1/1999,101.1637019
12/1/1999,101.3889093
1/1/2000,101.4782351
2/1/2000,101.4108854
3/1/2000,101.1956575
4/1/2000,100.898197
5/1/2000,100.5996925
6/1/2000,100.3621437
7/1/2000,100.1946124
8/1/2000,100.0808314
9/1/2000,100.0014245
10/1/2000,99.9521787
11/1/2000,99.93524145
12/1/2000,99.94835905
1/1/2001,99.97193037
2/1/2001,99.98425209
3/1/2001,99.97603994
4/1/2001,99.96576029
5/1/2001,99.98068869
6/1/2001,100.0382399
7/1/2001,100.125558
8/1/2001,100.2137541
9/1/2001,100.2699706
10/1/2001,100.2694344
11/1/2001,100.2005098
12/1/2001,100.0737434
1/1/2002,99.93559454
2/1/2002,99.83549766
3/1/2002,99.79400993
4/1/2002,99.76831166
5/1/2002,99.69654165
6/1/2002,99.54062298
7/1/2002,99.33187025
8/1/2002,99.12790661
9/1/2002,98.97348961
10/1/2002,98.8613335
11/1/2002,98.75929631
12/1/2002,98.63410558
1/1/2003,98.4741128
2/1/2003,98.2845793
3/1/2003,98.08537925
4/1/2003,97.91075704
5/1/2003,97.79663943
6/1/2003,97.76633771
7/1/2003,97.81190473
8/1/2003,97.91864871
9/1/2003,98.08388257
10/1/2003,98.33121246
11/1/2003,98.68496605
12/1/2003,99.13836722
1/1/2004,99.61307708
2/1/2004,100.0039324
3/1/2004,100.2227398
4/1/2004,100.2485253
5/1/2004,100.1029727
6/1/2004,99.83854376
7/1/2004,99.53831642
8/1/2004,99.28799744
9/1/2004,99.15130675
10/1/2004,99.14236457
11/1/2004,99.24691224
12/1/2004,99.43377489
1/1/2005,99.65791541
2/1/2005,99.87506168
3/1/2005,100.0538013
4/1/2005,100.1882922
5/1/2005,100.2847581
6/1/2005,100.3510809
7/1/2005,100.3891463
8/1/2005,100.3977131
9/1/2005,100.3773993
10/1/2005,100.337862
11/1/2005,100.2910661
12/1/2005,100.2460964
1/1/2006,100.2046745
2/1/2006,100.1678725
3/1/2006,100.142708
4/1/2006,100.1485625
5/1/2006,100.2092627
6/1/2006,100.3431949
7/1/2006,100.5496608
8/1/2006,100.8142456
9/1/2006,101.1090425
10/1/2006,101.388817
11/1/2006,101.6072801
12/1/2006,101.734851
1/1/2007,101.7810519
2/1/2007,101.7765044
3/1/2007,101.7607966
4/1/2007,101.7743003
5/1/2007,101.8491126
6/1/2007,101.9982621
7/1/2007,102.2006736
8/1/2007,102.4158648
9/1/2007,102.5950542
10/1/2007,102.6917871
11/1/2007,102.6707037
12/1/2007,102.5225003
1/1/2008,102.2872049
2/1/2008,102.0222878
3/1/2008,101.777384
4/1/2008,101.5718146
5/1/2008,101.4071393
6/1/2008,101.2769766
7/1/2008,101.1740208
8/1/2008,101.0884623
9/1/2008,101.0046801
10/1/2008,100.8969039
11/1/2008,100.7383875
12/1/2008,100.5124569
1/1/2009,100.2272132
2/1/2009,99.9043295
3/1/2009,99.57222446
4/1/2009,99.2621232
5/1/2009,99.00373862
6/1/2009,98.81958192
7/1/2009,98.7156953
8/1/2009,98.69229082
9/1/2009,98.74851107
10/1/2009,98.88136823
11/1/2009,99.078607
12/1/2009,99.30588883
1/1/2010,99.48909633
2/1/2010,99.54502852
3/1/2010,99.4156695
4/1/2010,99.11127564
5/1/2010,98.68598524
6/1/2010,98.22511205
7/1/2010,97.84104422
8/1/2010,97.63525445
9/1/2010,97.65579089
10/1/2010,97.84121821
11/1/2010,98.08623822
12/1/2010,98.294354
1/1/2011,98.4266998
2/1/2011,98.4840184
3/1/2011,98.49352234
4/1/2011,98.50069343
5/1/2011,98.55090637
6/1/2011,98.67115055
7/1/2011,98.84842171
8/1/2011,99.05626957
9/1/2011,99.27697035
10/1/2011,99.52140589
11/1/2011,99.80701985
12/1/2011,100.1336732
1/1/2012,100.4559814
2/1/2012,100.7090628
3/1/2012,100.8347677
4/1/2012,100.8129567
5/1/2012,100.6504961
6/1/2012,100.3801727
7/1/2012,100.0691168
8/1/2012,99.78934991
9/1/2012,99.59169462
10/1/2012,99.47777746
11/1/2012,99.42698789
12/1/2012,99.41683291
1/1/2013,99.43850283
2/1/2013,99.49182734
3/1/2013,99.577882
4/1/2013,99.68920738
5/1/2013,99.81280169
6/1/2013,99.93116998
