Date,value
4/1/1975,215353
5/1/1975,215523
6/1/1975,215768
7/1/1975,215973
8/1/1975,216195
9/1/1975,216393
10/1/1975,216587
11/1/1975,216771
12/1/1975,216931
1/1/1976,217095
2/1/1976,217249
3/1/1976,217381
4/1/1976,217528
5/1/1976,217685
6/1/1976,217861
7/1/1976,218035
8/1/1976,218233
9/1/1976,218440
10/1/1976,218644
11/1/1976,218834
12/1/1976,219006
1/1/1977,219179
2/1/1977,219344
3/1/1977,219504
4/1/1977,219684
5/1/1977,219859
6/1/1977,220046
7/1/1977,220239
8/1/1977,220458
9/1/1977,220688
10/1/1977,220904
11/1/1977,221109
12/1/1977,221303
1/1/1978,221477
2/1/1978,221629
3/1/1978,221792
4/1/1978,221991
5/1/1978,222176
6/1/1978,222379
7/1/1978,222585
8/1/1978,222805
9/1/1978,223053
10/1/1978,223271
11/1/1978,223477
12/1/1978,223670
1/1/1979,223865
2/1/1979,224053
3/1/1979,224235
4/1/1979,224438
5/1/1979,224632
6/1/1979,224843
7/1/1979,225055
8/1/1979,225295
9/1/1979,225547
10/1/1979,225801
11/1/1979,226027
12/1/1979,226243
1/1/1980,226451
2/1/1980,226656
3/1/1980,226849
4/1/1980,227061
5/1/1980,227251
6/1/1980,227522
7/1/1980,227726
8/1/1980,227953
9/1/1980,228186
10/1/1980,228417
11/1/1980,228612
12/1/1980,228779
1/1/1981,228937
2/1/1981,229071
3/1/1981,229224
4/1/1981,229403
5/1/1981,229575
6/1/1981,229761
7/1/1981,229966
8/1/1981,230187
9/1/1981,230412
10/1/1981,230641
11/1/1981,230822
12/1/1981,230989
1/1/1982,231157
2/1/1982,231313
3/1/1982,231470
4/1/1982,231645
5/1/1982,231809
6/1/1982,231992
7/1/1982,232188
8/1/1982,232392
9/1/1982,232599
10/1/1982,232816
11/1/1982,232993
12/1/1982,233160
1/1/1983,233322
2/1/1983,233473
3/1/1983,233613
4/1/1983,233781
5/1/1983,233922
6/1/1983,234118
7/1/1983,234307
